WKT,cadmium,copper,lead,zinc,elev,dist,om,ffreq,soil,lime,landuse,dist.m
"POINT (181072 333611)",11.7,85,299,1022,7.909,0.00135803,13.6,1,1,1,Ah,50
"POINT (181025 333558)",8.6,81,277,1141,6.983,0.0122243,14,1,1,1,Ah,30
"POINT (181165 333537)",6.5,68,199,640,7.8,0.103029,13,1,1,1,Ah,150
"POINT (181298 333484)",2.6,81,116,257,7.655,0.190094,8,1,2,0,Ga,270
"POINT (181307 333330)",2.8,48,117,269,7.48,0.27709,8.7,1,2,0,Ah,380
"POINT (181390 333260)",3,61,137,281,7.791,0.364067,7.8,1,2,0,Ga,470
"POINT (181165 333370)",3.2,31,132,346,8.217,0.190094,9.2,1,2,0,Ah,240
"POINT (181027 333363)",2.8,29,150,406,8.49,0.0921516,9.5,1,1,0,Ab,120
"POINT (181060 333231)",2.4,37,133,347,8.668,0.184614,10.6,1,1,0,Ab,240
"POINT (181232 333168)",1.6,24,80,183,9.049,0.309702,6.3,1,2,0,W,420
"POINT (181191 333115)",1.4,25,86,189,9.015,0.315116,6.4,1,2,0,Fh,400
"POINT (181032 333031)",1.8,25,97,251,9.073,0.228123,9,1,1,0,Ag,300
"POINT (180874 333339)",11.2,93,285,1096,7.32,0,15.4,1,1,1,W,20
"POINT (180969 333252)",2.5,31,183,504,8.815,0.113932,8.4,1,1,0,Ah,130
"POINT (181011 333161)",2,27,130,326,8.937,0.168336,9.1,1,1,0,Ah,220
"POINT (180830 333246)",9.5,86,240,1032,7.702,0,16.2,1,1,1,W,10
"POINT (180763 333104)",7,74,133,606,7.16,0.0122243,16,1,1,1,W,10
"POINT (180694 332972)",7.1,69,148,711,7.1,0.0122243,16,1,1,1,W,10
"POINT (180625 332847)",8.7,69,207,735,7.02,0,13.7,1,1,1,W,10
"POINT (180555 332707)",12.9,95,284,1052,6.86,0,14.8,1,1,1,,10
"POINT (180642 332708)",5.5,53,194,673,8.908,0.0703468,10.2,1,1,1,Am,80
"POINT (180704 332717)",2.8,35,123,402,8.99,0.0975136,7.2,1,1,1,Am,140
"POINT (180704 332664)",2.9,35,110,343,8.83,0.113932,7.2,1,1,1,Ag,160
"POINT (181153 332925)",1.7,24,85,218,9.02,0.342321,7,1,2,0,Ah,440
"POINT (181147 332823)",1.4,26,75,200,8.976,0.385804,6.9,1,2,0,W,490
"POINT (181167 332778)",1.5,22,76,194,8.973,0.429289,6.3,1,2,0,W,530
"POINT (181008 332777)",1.3,27,73,207,8.507,0.315116,5.6,1,2,0,Ab,400
"POINT (180973 332687)",1.3,24,67,180,8.743,0.320574,4.4,1,2,0,Ag,400
"POINT (180916 332753)",1.8,22,87,240,8.973,0.249863,5.3,1,2,0,Ah,330
"POINT (181352 332946)",1.5,21,65,180,9.043,0.489064,4.8,1,2,0,Ag,630
"POINT (181133 332570)",1.3,29,78,208,8.688,0.472778,2.6,1,2,0,B,570
"POINT (180878 332489)",1.3,21,64,198,8.727,0.287957,1,1,2,0,Ag,390
"POINT (180829 332450)",2.1,27,77,250,8.328,0.271622,2.4,1,2,0,Ah,360
"POINT (180954 332399)",1.2,26,80,192,7.971,0.385807,1.9,1,2,0,B,500
"POINT (180956 332318)",1.6,27,82,213,7.809,0.418417,3.1,1,2,0,B,550
"POINT (180710 332330)",3,32,97,321,6.986,0.244474,1.6,1,2,0,Ab,340
"POINT (180632 332445)",5.8,50,166,569,7.756,0.135709,3.5,1,2,0,Ab,210
"POINT (180530 332538)",7.9,67,217,833,7.784,0.0484965,8.1,1,1,1,Am,60
"POINT (180478 332578)",8.1,77,219,906,7,0,7.9,1,1,1,W,10
"POINT (180383 332476)",14.1,108,405,1454,6.92,0.00135803,9.5,1,1,1,W,20
"POINT (180494 332330)",2.4,32,102,298,7.516,0.135709,1.4,1,2,0,Am,170
"POINT (180561 332193)",1.2,21,48,167,8.18,0.26622,,1,2,0,Ga,320
"POINT (180451 332175)",1.7,22,65,176,8.694,0.211843,,1,2,0,W,260
"POINT (180410 332031)",1.3,21,62,258,9.28,0.320572,2,1,2,0,Ah,360
"POINT (180355 332299)",4.2,51,281,746,7.94,0.081222,5.1,1,2,0,Ah,100
"POINT (180292 332157)",4.3,50,294,746,6.36,0.190086,5.3,1,2,0,Am,200
"POINT (180283 332014)",3.1,38,211,464,7.78,0.287941,4.5,1,2,0,Ah,320
"POINT (180282 331861)",1.7,26,135,365,8.18,0.423826,4.9,1,2,0,Ah,480
"POINT (180270 331707)",1.7,24,112,282,9.42,0.554289,4.5,1,2,0,Bw,660
"POINT (180199 331591)",2.1,32,162,375,8.867,0.603225,5.5,1,2,0,Bw,690
"POINT (180135 331552)",1.7,24,94,222,8.292,0.614071,3.4,1,2,0,Ab,710
"POINT (180237 332351)",8.2,47,191,812,8.06,0.00135803,11.1,1,1,1,Ah,10
"POINT (180103 332297)",17,128,405,1548,7.98,0,12.3,1,1,1,W,10
"POINT (179973 332255)",12,117,654,1839,7.9,0.0054321,16.5,1,1,1,W,10
"POINT (179826 332217)",9.4,104,482,1528,7.74,0.0054321,13.9,1,1,1,W,10
"POINT (179687 332161)",8.2,76,276,933,7.552,0.0054321,8.1,1,1,1,W,20
"POINT (179792 332035)",2.6,36,180,432,7.76,0.146578,3.1,1,1,0,Fw,200
"POINT (179902 332113)",3.5,34,207,550,6.74,0.135684,5.8,1,1,0,Fw,140
"POINT (180100 332213)",10.9,90,541,1571,6.68,0.0703333,10.2,1,1,1,Fw,70
"POINT (179604 332059)",7.3,80,310,1190,7.4,0.0484831,12,1,1,1,W,20
"POINT (179526 331936)",9.4,78,210,907,7.44,0.0054321,14.1,1,1,1,W,10
"POINT (179495 331770)",8.3,77,158,761,7.36,0.0054321,14.5,1,1,1,Fw,10
"POINT (179489 331633)",7,65,141,659,7.2,0.0316663,14.8,1,1,1,W,20
"POINT (179414 331494)",6.8,66,144,643,7.22,0.0122243,13.3,1,1,1,Ah,10
"POINT (179334 331366)",7.4,72,181,801,7.36,0.0122243,15.2,1,1,1,W,20
"POINT (179255 331264)",6.6,75,173,784,5.18,0.0373395,11.4,1,1,1,W,20
"POINT (179470 331125)",7.8,75,399,1060,5.8,0.211846,9,1,1,0,Ah,270
"POINT (179692 330933)",0.7,22,45,119,7.64,0.451037,3.6,1,1,1,Fw,560
"POINT (179852 330801)",3.4,55,325,778,6.32,0.575877,6.9,1,1,0,Bw,750
